Con,Contp,Reg,Dat,Agtp,Stage,Loc1ISO,StDef,StGen,StCon,Dev,NatRes,Bus,LaRef,SsrPol,GCh,GRa,GeWom,GeMe,HrGen,EqGen,HrDem,HrFra,HrCp,HrSec,HrNi,Med,HrCit,Prot,Pol,Cons,Ele,Pubad,Polps,Terps,Eps,JusCr,JusJu,TjNR,Religion
Cote d'Ivoire,Government,Africa (excl MENA),2004-07-30,Intra,Imp,CIV,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0
Cote d'Ivoire,Government,Africa (excl MENA),2003-07-04,Intra,Imp,CIV,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Cote d'Ivoire,Government,Africa (excl MENA),2003-05-03,Intra,Cea,CIV,1,1,1,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Cote d'Ivoire,Government,Africa (excl MENA),2003-03-07,Intra,Imp,CIV,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,1,0
Cote d'Ivoire,Government,Africa (excl MENA),2003-01-26,InterIntra,Imp,CIV,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Cote d'Ivoire,Government,Africa (excl MENA),2003-01-23,Intra,SubComp,CIV,1,1,0,3,0,0,1,1,0,0,1,0,0,0,1,0,0,0,3,2,3,1,3,0,2,1,1,0,0,0,1,1,0
Cote d'Ivoire,Government,Africa (excl MENA),2003-01-13,Intra,Cea,CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,Government,Africa (excl MENA),2002-11-01,Intra,Pre,CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,Government,Africa (excl MENA),2002-10-17,Intra,Cea,CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,Government,Africa (excl MENA),2002-09-29,InterIntra,Pre,CIV,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia/Slovenia/Yugoslavia (former),Government/territory,Europe and Eurasia,1991-07-13,InterIntra,Pre,HRV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia/Slovenia/Yugoslavia (former),Government/territory,Europe and Eurasia,1991-07-07,InterIntra,Pre,HRV,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Croatia/Yugoslavia (former),Government/territory,Europe and Eurasia,1997-10-03,InterIntra,Imp,HRV,1,0,0,3,0,1,1,1,1,3,0,0,1,3,1,1,0,0,1,3,2,1,0,0,0,1,0,0,0,0,0,2,1
Croatia/Yugoslavia (former),Government/territory,Europe and Eurasia,1996-12-19,Intra,Imp,HRV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia/Yugoslavia (former),Government/territory,Europe and Eurasia,1996-08-23,InterIntra,SubPar,HRV,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1
Croatia/Yugoslavia (former),Government/territory,Europe and Eurasia,1996-01-15,InterIntra,Imp,HRV,1,1,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Croatia/Yugoslavia (former),Government,Europe and Eurasia,1995-11-22,InterIntra,Imp,HRV,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Croatia/Yugoslavia (former),Government/territory,Europe and Eurasia,1995-11-12,Intra,SubPar,HRV,0,0,0,1,0,0,1,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0
Croatia/Yugoslavia (former),Government/territory,Europe and Eurasia,1995-10-03,InterIntra,Pre,HRV,0,0,0,1,0,0,1,1,0,2,0,0,1,0,0,2,0,0,0,2,2,1,1,0,1,0,0,3,0,0,0,0,0
Croatia/Yugoslavia (former),Government/territory,Europe and Eurasia,1995-08-08,Intra,Cea,HRV,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
